SCC,num,specise,PSO4,PNO3,PEC,POC,PMFINE
40722898,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40723297,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40723298,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40729601,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40729605,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40780403,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40780815,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40781201,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40781602,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40781604,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40781606,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40781607,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40781699,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40782001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40782002,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40782006,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40782007,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40782009,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40782011,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40782099,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40783202,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40783203,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40783299,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40784801,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40784899,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40786499,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40786805,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40787201,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40787299,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40788403,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40799901,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40799903,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40799905,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
41000101,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
41000102,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
41000201,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
41000202,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
41000230,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
41080001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
42500102,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
42500202,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
42500302,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
42505001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
42505002,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
42505101,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
42505102,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
49000101,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
49000102,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
49000103,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
49000104,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
49000105,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
49000204,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
49000207,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
49000208,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
49000401,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
49000405,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
49000501,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
49000502,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
49000503,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
49000504,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
49000601,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100404,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100405,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100702,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100703,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100704,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100707,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100710,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100715,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100719,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100720,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100731,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100732,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100740,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100760,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100769,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100771,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100772,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50100792,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
